scenario,round_idx,event,active_nodes,bytes_exchanged,communication_energy_j,baseline_compute_energy_kwh,mesh_compute_energy_kwh,target_mesh_crop_accuracy,target_baseline_crop_accuracy,target_advantage_crop_accuracy,macro_gain_crop_accuracy,worst_node_gain_crop_accuracy,target_mesh_disease_accuracy,target_baseline_disease_accuracy,target_advantage_disease_accuracy,macro_gain_disease_accuracy,worst_node_gain_disease_accuracy,target_mesh_pair_accuracy,target_baseline_pair_accuracy,target_advantage_pair_accuracy,macro_gain_pair_accuracy,worst_node_gain_pair_accuracy
disconnection,0,,6,2653800,79.614,0.0012747844193136775,0.0024256710826433135,0.7058823529411765,0.39705882352941174,0.3088235294117648,0.3122549516830809,0.35835351089588374,0.5735294117647058,0.36764705882352944,0.2058823529411764,0.24538425166359407,0.3220338983050848,0.5588235294117647,0.35294117647058826,0.20588235294117646,0.235976435081387,0.22033898305084745
disconnection,1,,6,2653800,79.614,0.0011923714701750209,0.0023957818865547814,0.7058823529411765,0.47058823529411764,0.23529411764705888,0.16934554373658628,0.19042871385842475,0.6323529411764706,0.45588235294117646,0.1764705882352941,0.19927103010502184,0.28659476117103233,0.5588235294117647,0.4264705882352941,0.13235294117647062,0.196457029635754,0.22033898305084743
disconnection,2,disconnect (node_1),5,1760992,52.82976,0.001192858527732245,0.0020291726821737273,0.7058823529411765,0.5441176470588235,0.16176470588235303,0.30372208733821504,0.49152542372881347,0.6323529411764706,0.4117647058823529,0.22058823529411764,0.281800051664632,0.35593220338983056,0.5588235294117647,0.36764705882352944,0.19117647058823528,0.2709126773900995,0.23728813559322032
disconnection,3,,5,1760992,52.82976,0.0011875963921747698,0.0020258641395380222,0.7058823529411765,0.47058823529411764,0.23529411764705888,0.1552349234726087,0.23529411764705888,0.6323529411764706,0.4117647058823529,0.22058823529411764,0.17193175014901424,0.3334800792427911,0.5588235294117647,0.36764705882352944,0.19117647058823528,0.1733850217762813,0.22386088487783404
disconnection,4,reconnect (node_1),6,2653800,79.614,0.0011828318773299982,0.002380266352530014,0.7352941176470589,0.2647058823529412,0.4705882352941177,0.1728770539007385,0.430209371884347,0.6029411764705882,0.20588235294117646,0.39705882352941174,0.23318879491663153,0.39705882352941174,0.5294117647058824,0.19117647058823528,0.3382352941176471,0.19987109801699998,0.3003489531405783
disconnection,5,,6,2653800,79.614,0.0011838557653612942,0.0023882022013246946,0.7352941176470589,0.7058823529411765,0.02941176470588236,0.12341842086230215,0.13735597331716198,0.5882352941176471,0.5294117647058824,0.05882352941176472,0.17992122830524038,0.16450648055832506,0.5294117647058824,0.4852941176470588,0.04411764705882354,0.161520350025475,0.15254237288135597
class_addition,0,,6,2571720,77.1516,0.0013807188863889247,0.002304559619237513,0.6551724137931034,0.41379310344827586,0.24137931034482757,0.21740120121521905,0.27281947261663286,0.5172413793103449,0.3448275862068966,0.1724137931034483,0.16151991262485527,0.14437410659587502,0.41379310344827586,0.3448275862068966,0.06896551724137928,0.17672752862789348,0.11864406779661019
class_addition,1,,6,2571720,77.1516,0.001092070638916399,0.002226332093709149,0.6896551724137931,0.3793103448275862,0.31034482758620696,0.25219254942050645,0.5181954137587238,0.5862068965517241,0.27586206896551724,0.31034482758620685,0.2365512017053702,0.3898305084745763,0.5517241379310345,0.2413793103448276,0.31034482758620685,0.22263705839302544,0.33898305084745767
class_addition,2,"class_added (node_0) {'crop': 'Tomato', 'mechanism': 'target_withheld', 'n_injected_train': 274, 'n_injected_test': 48, 'n_injected': 322}",6,2653800,79.614,0.0012118747729916697,0.002400175333243391,0.8961038961038961,0.7272727272727273,0.16883116883116878,0.2692185421206964,0.45164506480558325,0.5844155844155844,0.37662337662337664,0.20779220779220775,0.2723010051146991,0.4520626432391138,0.5844155844155844,0.3246753246753247,0.2597402597402597,0.25859754215357816,0.3930707876370888
class_addition,3,,6,2653800,79.614,0.0011929110150284876,0.0024005338468187807,0.8831168831168831,0.7532467532467533,0.1298701298701298,0.11720378587731128,0.2007277137659188,0.6363636363636364,0.38961038961038963,0.24675324675324672,0.17096943260534525,0.15255828508840552,0.6233766233766234,0.35064935064935066,0.2727272727272727,0.15884386222433067,0.09513378188076982
class_addition,4,,6,2653800,79.614,0.0011916800549945337,0.002385360932012768,0.8831168831168831,0.6883116883116883,0.19480519480519476,0.19254664146054123,0.5239282153539382,0.5974025974025974,0.35064935064935066,0.24675324675324672,0.16180342005998505,0.35543369890329013,0.5714285714285714,0.35064935064935066,0.22077922077922074,0.16159941692176194,0.3728813559322034
class_addition,5,,6,2653800,79.614,0.0011877377784190195,0.0023975667074480297,0.8831168831168831,0.8311688311688312,0.051948051948051854,0.1252153617210725,0.11537295330503339,0.5454545454545454,0.5194805194805194,0.025974025974025983,0.11611214765584721,0.08153701968134952,0.5324675324675324,0.5194805194805194,0.012987012987012991,0.09664920613738553,0.05189585881530667
distribution_shift,0,,6,2653800,79.614,0.0012718228961927961,0.0024348886368095097,0.7835051546391752,0.5463917525773195,0.23711340206185572,0.2306196058015777,0.2668320340184267,0.7010309278350515,0.4742268041237113,0.22680412371134018,0.21408723645913447,0.26944140197152244,0.6185567010309279,0.3917525773195876,0.22680412371134023,0.2359685142227652,0.21087387189082105
distribution_shift,1,,6,2653800,79.614,0.0011984955912502657,0.0024003344106750596,0.7938144329896907,0.4948453608247423,0.2989690721649484,0.1828068401125006,0.2404487568223166,0.6907216494845361,0.4020618556701031,0.28865979381443296,0.23996800822592235,0.23586707410236818,0.6288659793814433,0.31958762886597936,0.30927835051546393,0.23675453682540543,0.209824135839903
distribution_shift,2,"shift_applied (node_2) {'corruption': 'brightness_blur_noise', 'severity': 0.5}",6,2653800,79.614,0.0012467947228494201,0.0025572835265648937,0.7835051546391752,0.5567010309278351,0.22680412371134018,0.26966843441501565,0.37811565304087735,0.6494845360824743,0.5360824742268041,0.11340206185567014,0.2735627518987568,0.2971365983414176,0.5876288659793815,0.41237113402061853,0.17525773195876293,0.2756572596142323,0.288135593220339
distribution_shift,3,,6,2653800,79.614,0.0012425572646983783,0.002487489887201661,0.8144329896907216,0.5154639175257731,0.2989690721649485,0.2682130261511265,0.45588235294117646,0.7628865979381443,0.4845360824742268,0.2783505154639175,0.2822687083971575,0.42647058823529405,0.6907216494845361,0.38144329896907214,0.30927835051546393,0.2827050709448665,0.3529411764705882
distribution_shift,4,,6,2653800,79.614,0.0012347204489695249,0.0024896000387496825,0.7216494845360825,0.6082474226804123,0.11340206185567014,0.16215803326722456,0.29411764705882354,0.7731958762886598,0.4329896907216495,0.3402061855670103,0.20668875587922325,0.23529411764705882,0.6288659793814433,0.3917525773195876,0.23711340206185566,0.187402850676271,0.20737786640079764
distribution_shift,5,,6,2653800,79.614,0.001240954852864791,0.0024788091795849058,0.7525773195876289,0.7010309278350515,0.05154639175257736,0.11017088860431257,0.1424078280622051,0.6597938144329897,0.7010309278350515,-0.04123711340206182,0.12895757525851226,0.1631016042780749,0.5773195876288659,0.5876288659793815,-0.010309278350515538,0.1288164645143609,0.20443823169666253
